f09f8cae;taco
f09f8e8b;tanabata_tree
f09f8d8a;tangerine
e2998900;taurus
f09f9a95;taxi
f09f8db5;tea
f09f9386;calendar
f09f939e;telephone_receiver
f09f94ad;telescope
f09f93ba;tv
f09f8ebe;tennis
e29bba00;tent
f09f8ca1;thermometer
f09fa494;thinking_face
f09f92ad;thought_balloon
f09f96b1;three_button_mouse
f09f918d;thumbsup
f09f918e;thumbsdown
e29b8800;thunder_cloud_and_rain
f09f8eab;ticket
f09f9085;tiger2
f09f90af;tiger
e28fb200;timer_clock
f09f98ab;tired_face
f09f9abd;toilet
f09f97bc;tokyo_tower
f09f8d85;tomato
f09f9185;tongue
f09f8ea9;tophat
f09f949d;top
f09f96b2;trackball
f09f9a9c;tractor
e284a200;tm
f09f9a86;train2
f09f9a8a;tram
f09f9a8b;train
f09f9aa9;triangular_flag_on_post
f09f9390;triangular_ruler
f09f94b1;trident
f09f9a8e;trolleybus
f09f8f86;trophy
f09f8db9;tropical_drink
f09f90a0;tropical_fish
f09f8eba;trumpet
f09f8cb7;tulip
f09fa683;turkey
f09f90a2;turtle
f09f9480;twisted_rightwards_arrows
f09f9295;two_hearts
f09f91ac;two_men_holding_hands
f09f91ad;two_women_holding_hands
e2988200;umbrella
e29bb100;umbrella_on_ground
f09f9892;unamused
f09fa684;unicorn_face
f09f94ba;small_red_triangle
f09f94bc;arrow_up_small
e2869500;arrow_up_down
f09f9983;upside__down_face
e2ac8600;arrow_up
f09f9aa6;vertical_traffic_light
f09f93b3;vibration_mode
e29c8c00;v
f09f93b9;video_camera
f09f8eae;video_game
f09f93bc;vhs
f09f8ebb;violin
e2998d00;virgo
f09f8c8b;volcano
f09f8f90;volleyball
f09f8c98;waning_crescent_moon
f09f8c96;waning_gibbous_moon
e29aa000;warning
f09f9791;wastebasket
e28c9a00;watch
f09f9083;water_buffalo
f09f9abe;wc
f09f8c8a;ocean
f09f8d89;watermelon
f09f8fb4;waving_black_flag
f09f918b;wave
f09f8fb3;waving_white_flag
e380b000;wavy_dash
f09f8c92;waxing_crescent_moon
f09f8c94;moon
f09f8c94;waxing_gibbous_moon
f09f9980;scream_cat
f09f98a9;weary
f09f9292;wedding
f09f8f8b;weight_lifter
f09f908b;whale2
e298b800;wheel_of_dharma
e299bf00;wheelchair
f09f9187;point_down
e29d9500;grey_exclamation
f09f92ae;white_flower
e298b900;white_frowning_face
e29c8500;white_check_mark
e2ac9c00;white_large_square
f09f9188;point_left
e297bd00;white_medium_small_square
e297bb00;white_medium_square
e2ad9000;star
e29d9400;grey_question
f09f9189;point_right
e296ab00;white_small_square
e298ba00;relaxed
f09f94b3;white_square_button
f09f8ca5;white_sun_behind_cloud
f09f8ca6;white_sun_behind_cloud_with_rain
f09f8ca4;white_sun_with_small_cloud
f09f9186;point_up_2
e2989d00;point_up
f09f8cac;wind_blowing_face
f09f8e90;wind_chime
f09f8db7;wine_glass
f09f9889;wink
f09f90ba;wolf
f09f91a9;woman
f09f91af;dancers
f09f91a2;boot
f09f919a;womans_clothes
f09f9192;womans_hat
f09f91a1;sandal
f09f9aba;womens
f09f97ba;world_map
f09f989f;worried
f09f8e81;gift
f09f94a7;wrench
e29c8d00;writing_hand
f09f929b;yellow_heart
e298af00;yin_yang
f09fa490;zipper__mouth_face
